link,title,rating,price
81RzqXVcIfL._AC_UY218_.jpg,The Cimmerian Vol 1,4.5,10662.0
81XtSmX9X-L._AC_UY218_.jpg,"Sleeping Beauties, Vol. 1 (Graphic Novel)",4.3,7418.0
91qRc7ER1+L._AC_UY218_.jpg,The Mask Omnibus Volume 2 (Second Edition),4.7,14542.0
81I+QP33CPL._AC_UY218_.jpg,The Call of Cthulhu and Dagon: A Graphic Novel (Graphic Classics),4.7,7705.0
81Q-LAIMcxL._AC_UY218_.jpg,Let There Be Light: The Real Story of Her Creation,4.5,9557.0
81byAScSSVL._AC_UY218_.jpg,Land of the Dead: Lessons from the Underworld on Storytelling and Living,5.0,12360.0
816k5cHndXL._AC_UY218_.jpg,Rick and Morty vs. Dungeons & Dragons: The Complete Adventures (Rick and Morty Vs. Dungeons & Dragons Complete Adventures),4.8,14110.0
71A6WubyYYL._AC_UY218_.jpg,The Cimmerian Vol 3,4.8,10420.0
71hDwlB3roL._AC_UY218_.jpg,Bomb (Graphic Novel): The Race to Build--and Steal--the World's Most Dangerous Weapon,4.4,6890.0
8180auJZv1L._AC_UY218_.jpg,Star Wars: Doctor Aphra Vol. 4: Crimson Reign (Star Wars: Doctor Aphra (2020-)),4.4,3874.0
51tHlXYdtpL._AC_UY218_.jpg,Firefly: Legacy Edition Book Two,4.8,9547.0
91j67URbesL._AC_UY218_.jpg,Horizon Zero Dawn Vol. 1: The Sunhawk (Graphic Novel),4.8,7753.0
91M+ZN9DpZL._AC_UY218_.jpg,Art of He-Man and the Masters of the Universe,4.9,15269.0
81tfjC+ElzL._AC_UY218_.jpg,Sapiens: Volumen I: El nacimiento de la humanidad (Edición gráfica) / Sapiens: A Graphic History: The Birth of Humankind (Spanish Edition),4.7,12098.0
71VutLnNInL._AC_UY218_.jpg,Ray Bradbury's Something Wicked This Way Comes: The Authorized Adaptation (Ray Bradbury Graphic Novels),4.5,8243.0
91X4d2-o05L._AC_UY218_.jpg,Star Wars: Bounty Hunters Vol. 4: Crimson Reign (Star Wars: Bounty Hunters (2020-)),4.2,3874.0
91Tk96UlgML._AC_UY218_.jpg,Life Is Strange: Coloring Book,4.8,5576.0
91Q6YRux66L._AC_UY218_.jpg,Horizon Zero Dawn Vol. 2: Liberation,4.8,6153.0
91fsm6VVHIL._AC_UY218_.jpg,The Jungle: [A Graphic Novel],4.5,9329.0
81FU5NX0e2L._AC_UY218_.jpg,Magic Vol. 1,4.8,10178.0
815FHWN4B0L._AC_UY218_.jpg,Richard Stark's Parker: The Complete Collection, ,31789.0
81uWZX3OFuL._AC_UY218_.jpg,"The Cimmerian Vol 2 (Cimmerian, 2)",4.8,12117.0
815FHWN4B0L._AC_UY218_.jpg,Richard Stark's Parker: The Complete Collection, ,31789.0
81uWZX3OFuL._AC_UY218_.jpg,"The Cimmerian Vol 2 (Cimmerian, 2)",4.8,12117.0
91TS9q0vKGL._AC_UY218_.jpg,He-Man and She-Ra: A Complete Guide to the Classic Animated Adventures,4.9,16462.0
91prTQNf0fL._AC_UY218_.jpg,Robin Vol. 1: Reborn,4.7,11385.0
7113Yii1gfL._AC_UY218_.jpg,Joe Hill's Rain,4.4,9062.0
A17+cokkboL._AC_UY218_.jpg,Sandman: Dream Hunters 30th Anniversary Edition (P. Craig Russell),4.8,9499.0
71LPUgMfOxL._AC_UY218_.jpg,The Metamorphosis: The Illustrated Edition,4.2,6783.0
81y+Nk0KKpL._AC_UY218_.jpg,Star Trek: The Next Generation: Mirror Universe Collection,4.7,14246.0
81CkkAS6SRL._AC_UY218_.jpg,AFTER: The Graphic Novel (Volume Two), ,9208.0
91jiA5nzGhL._AC_UY218_.jpg,Nottingham Vol. 2: A King's Ransom,4.9,7753.0
A1dlySFFYLL._AC_UY218_.jpg,The Neil Gaiman Library Volume 3,4.8,16481.0
81hvMM6xKNL._AC_UY218_.jpg,War and Peace: The Graphic Novel,4.3,5576.0
51hANAhhcAL._AC_UY218_.jpg,James Bond: Casino Royale Graphic Novel (Ian Fleming's James Bond Agent 007),4.5,12117.0
81zFedw-09L._AC_UY218_.jpg,Frankenstein,4.5,0.0
91-16U4r9gL._AC_UY218_.jpg,Naturalist: A Graphic Adaptation,4.8,10178.0
91lxJucs8xL._AC_UY218_.jpg,The Gettysburg Address: A Graphic Adaptation,4.5,8723.0
71Crx46jlnL._AC_UY218_.jpg,Sophie's World: A Graphic Novel About the History of Philosophy Vol I: From Socrates to Galileo,3.7,7564.0
91EqAPYQ2YL._AC_UY218_.jpg,Fables: The Deluxe Edition Book One,4.8,1934.0
91NIAm6EUrL._AC_UY218_.jpg,New Gods,4.8,14542.0
81tgFbEzaJL._AC_UY218_.jpg,Free Speech Handbook: A Practical Framework for Understanding Our Free Speech Protections (World Citizen Comics),4.7,8238.0
714+etSN56L._AC_UY218_.jpg,Fafhrd and the Gray Mouser Omnibus,4.4,14542.0
81CVhJl-zlL._AC_UY218_.jpg,Moebius Library: Inside Moebius Part 1,4.4,19391.0
91EVk2YIrvL._AC_UY218_.jpg,AFTER: The Graphic Novel (Volume One),4.7,7511.0
9118Eilx35L._AC_UY218_.jpg,"No Future For You (Buffy the Vampire Slayer Season Eight, Volume 2)",4.7,18542.0
81WMVw1pryL._AC_UY218_.jpg,Rick and Morty Vol. 2 (2),4.7,6672.0
817XsKLHnsL._AC_UY218_.jpg,W. E. B. Du Bois Souls of Black Folk: A Graphic Interpretation,4.6,9673.0
81MA6a-aiwL._AC_UY218_.jpg,Jim Henson's Labyrinth: Coronation Vol. 1,4.9,21330.0
A1a8gJ4XICL._AC_UY218_.jpg,Mad Max: Fury Road: The Prelude to the Blockbuster Film!,4.5,7268.0
71fJ41FbvOL._AC_UY218_.jpg,DUNE: The Official Movie Graphic Novel,4.7,10178.0
91zuEhv2aRL._AC_UY218_.jpg,Batman: The 1989 Movie Adaptation,4.7,7268.0
61gACjzEHeL._AC_UY218_.jpg,"The Complete Crepax: Erotic Stories, Part II: Volume 8", ,31518.0
91hpnNVPu0L._AC_UY218_.jpg,El Diario de Anne Frank (novela gráfica) / Anne Frank's Dairy: The Graphic Adaptation (Spanish Edition),4.6,8723.0
91hpnNVPu0L._AC_UY218_.jpg,El Diario de Anne Frank (novela gráfica) / Anne Frank's Dairy: The Graphic Adaptation (Spanish Edition),4.6,8723.0
91ibRTerOsL._AC_UY218_.jpg,The Complete ElfQuest Volume 5,4.8,14542.0
71ZnZLoJ2BL._AC_UY218_.jpg,"Fables Vol. 5: The Mean Seasons (Fables, 5)",4.7,6080.0
71s28Cf96PL._AC_UY218_.jpg,Trick 'r Treat Omnibus,4.9,11147.0
91TuwfrLQAL._AC_UY218_.jpg,Batgirls 2: Bat Girl Summer,4.5,8189.0
91HJBNjdlbL._AC_UY218_.jpg,Rick and Morty vs. Dungeons & Dragons,4.8,6783.0
915ubl1NsrL._AC_UY218_.jpg,Big Guy and Rusty (2nd edition),4.6,12117.0
812UixxAjnL._AC_UY218_.jpg,"Sapiens. Una historia gráfica. Vol. 2: Los pilares de la civilización / Sapiens: A Graphic History, Volume 2: The Pillars of Civilization (Spanish Edition)",4.5,11632.0
71mdoR5EhjL._AC_UY218_.jpg,The Last Count of Monte Cristo,4.0,9518.0
91sphISkr3L._AC_UY218_.jpg,Star Wars: Tales from the Rancor Pit,4.5,8238.0
81EBYGGN6QL._AC_UY218_.jpg,Rick and Morty Book One: Deluxe Edition (1),4.6,0.0
91UQQO7B8EL._AC_UY218_.jpg,Marvel Mazes,4.8,7249.0
81WOwm4clLL._AC_UY218_.jpg,"Assassin's Apprentice Volume 1 (Graphic Novel) (Assassin's Apprentice, 1)", ,14542.0
913bwpVfrQL._AC_UY218_.jpg,LOKI: GOD OF STORIES OMNIBUS, ,60612.0
81k+NMLBRhL._AC_UY218_.jpg,"The Eye of the World: The Graphic Novel, Volume Five (Wheel of Time: The Graphic Novel, 5)",4.7,10662.0
81r1ItlvnvL._AC_UY218_.jpg,Bram Stoker's Dracula (Graphic Novel),4.5, 
91UJXObZzGL._AC_UY218_.jpg,Fables: The Deluxe Edition Book Three,4.8,1934.0
71VVpcjEp9L._AC_UY218_.jpg,Fables Vol. 1: Legends in Exile,4.6,5716.0
91mmc8fbCgL._AC_UY218_.jpg,The Complete ElfQuest Volume 6,4.8,12956.0
81Doue-DgVL._AC_UY218_.jpg,"The Complete Crepax: Erotic Stories, Part I: Volume 7",4.2,29675.0
81k8Ef0lDeL._AC_UY218_.jpg,Rick and Morty Book Three (3),4.8,14770.0
81lOr4y4DDL._AC_UY218_.jpg,Rick and Morty Vol. 5 (5),4.9,8728.0
A1H1YCDCAzL._AC_UY218_.jpg,Fables Vol. 6: Homelands,4.8,6153.0
81rxEM4++YL._AC_UY218_.jpg,Life is Strange Vol. 6: Settling Dust (Graphic Novel),4.8,7171.0
71Tlvcpn6OL._AC_UY218_.jpg,Rick and Morty Vol. 3 (3),4.8,6444.0
81nKnyiEmxL._AC_UY218_.jpg,Mortal Kombat X (2015) Vol. 2,4.8,4844.0
51jQXs18-BL._AC_UY218_.jpg,Moby-Dick in Pictures: One Drawing for Every Page,4.6,18906.0
71snPMedzDL._AC_UY218_.jpg,"The Superhero Multiverse: Readapting Comic Book Icons in Twenty-First-Century Film and Popular Media (Remakes, Reboots, and Adaptations)", ,58187.0
